offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_your_home,average_balance,q3_balance,range,min
No,Points,Postcard,Medium,2,No,Low,2,1,4,No,1050.0,1767.0,1273.0,494.0
No,Points,Postcard,Medium,2,No,High,2,1,5,Yes,1266.5,1151.0,1438.0,660.0
No,Air Miles,Postcard,Medium,1,No,High,4,1,2,Yes,1124.75,1939.0,1719.0,220.0
No,Air Miles,Letter,High,3,No,High,2,2,1,No,1059.75,1595.0,1481.0,293.0
No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,1014.25,1443.0,835.0,608.0
No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,891.25,615.0,1337.0,297.0
Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5,1603.0,530.0,1073.0
No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,No,1023.5,1158.0,1002.0,350.0
Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5,1310.0,1420.0,235.0
No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,731.5,730.0,271.0,570.0
No,Points,Postcard,Low,1,No,Medium,2,1,2,No,793.5,859.0,305.0,625.0
No,Cash Back,Postcard,Medium,2,No,Low,1,1,3,Yes,1735.5,1972.0,362.0,1610.0
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,970.5,581.0,1180.0,495.0
No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,995.25,1637.0,1129.0,508.0
No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,904.0,605.0,1312.0,159.0
No,Cash Back,Postcard,High,2,No,High,1,1,5,Yes,1128.5,1182.0,291.0,969.0
No,Air Miles,Postcard,Medium,3,No,Medium,2,1,3,Yes,1102.75,1855.0,1655.0,200.0
No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,976.25,1374.0,1257.0,332.0
No,Air Miles,Letter,Medium,2,No,High,2,1,5,Yes,839.75,882.0,204.0,697.0
No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,1293.0,1735.0,1535.0,538.0
No,Cash Back,Postcard,Medium,2,No,High,2,1,5,Yes,819.5,1274.0,953.0,321.0
No,Air Miles,Postcard,Medium,2,No,Low,2,2,3,Yes,1094.5,900.0,1690.0,174.0
No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,1247.25,1768.0,1564.0,450.0
No,Air Miles,Letter,Medium,1,No,High,3,1,3,Yes,167.0,190.0,71.0,124.0
No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1144.75,1405.0,769.0,636.0
No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,909.75,509.0,1324.0,211.0
No,Cash Back,Postcard,Medium,1,Yes,Low,3,1,3,Yes,976.25,1246.0,1601.0,187.0
No,Points,Postcard,Low,2,No,Medium,2,3,4,Yes,741.0,833.0,349.0,534.0
No,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1343.75,1538.0,869.0,876.0
Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5,1838.0,564.0,1274.0
No,Air Miles,Letter,Medium,1,No,Medium,1,1,4,No,1791.25,1616.0,378.0,1616.0
No,Points,Letter,Low,2,Yes,Medium,1,1,3,Yes,1185.75,2183.0,1801.0,382.0
No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1210.75,1152.0,1581.0,592.0
Yes,Points,Postcard,High,1,Yes,Low,1,1,6,No,161.5,454.0,410.0,44.0
No,Cash Back,Letter,Low,1,Yes,High,1,1,2,Yes,1033.75,934.0,1781.0,201.0
No,Cash Back,Letter,High,2,No,Low,2,1,5,Yes,963.0,1461.0,1224.0,237.0
No,Cash Back,Postcard,Medium,1,No,High,2,3,5,Yes,1025.75,1473.0,792.0,681.0
No,Points,Letter,Low,1,No,High,1,1,5,Yes,1071.75,1738.0,1235.0,503.0
No,Cash Back,Letter,Low,1,No,Low,2,2,3,Yes,1039.5,812.0,1600.0,334.0
No,Air Miles,Postcard,Medium,1,No,Low,3,1,3,Yes,979.25,805.0,1787.0,50.0
No,Points,Postcard,High,1,No,High,2,1,1,Yes,905.5,545.0,1332.0,206.0
No,Cash Back,Letter,High,1,Yes,Medium,2,1,5,Yes,924.0,676.0,1511.0,6.0
No,Cash Back,Postcard,Low,1,No,Low,1,1,2,Yes,1061.75,923.0,1587.0,273.0
No,Points,Postcard,Medium,1,Yes,Medium,3,2,1,No,816.5,974.0,395.0,579.0
Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5,996.0,1851.0,39.0
No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,Yes,928.25,457.0,1408.0,362.0
No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1397.25,1270.0,1019.0,785.0
No,Points,Postcard,Low,2,No,Low,1,2,5,No,1034.5,832.0,1265.0,299.0
No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,Yes,738.5,831.0,146.0,685.0
No,Cash Back,Postcard,High,1,No,High,2,1,4,Yes,1251.5,1719.0,971.0,748.0
No,Points,Postcard,Low,1,No,High,1,1,5,Yes,1153.75,1711.0,1191.0,520.0
No,Cash Back,Postcard,High,1,No,Medium,2,1,4,Yes,864.0,1043.0,1118.0,345.0
No,Cash Back,Letter,Medium,1,No,High,3,1,2,No,1155.5,1065.0,168.0,1065.0
No,Cash Back,Postcard,High,1,No,High,1,2,5,No,1090.5,784.0,1509.0,488.0
No,Cash Back,Letter,Low,1,No,Medium,2,1,4,No,1090.5,691.0,1473.0,336.0
No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,773.75,503.0,471.0,503.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,Yes,1052.0,1652.0,1249.0,403.0
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,944.25,662.0,1189.0,369.0
No,Points,Letter,Medium,1,No,High,1,2,4,No,1147.25,1067.0,985.0,753.0
No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,1159.5,1418.0,823.0,684.0
No,Air Miles,Postcard,High,1,No,High,1,1,3,No,836.5,886.0,323.0,618.0
No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,Yes,1057.75,1843.0,1404.0,439.0
No,Cash Back,Postcard,Medium,1,No,Medium,3,1,5,No,714.75,1192.0,905.0,287.0
Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5,564.0,394.0,564.0
No,Cash Back,Letter,Medium,1,No,High,2,1,3,No,865.75,557.0,1727.0,76.0
No,Cash Back,Postcard,Medium,1,No,Low,1,1,3,Yes,887.25,1343.0,935.0,408.0
No,Cash Back,Letter,High,1,No,Medium,2,1,5,No,1791.75,1500.0,482.0,1500.0
No,Points,Postcard,High,1,No,High,2,1,3,Yes,1083.0,723.0,1581.0,268.0
No,Points,Letter,Medium,2,No,Low,1,1,2,Yes,212.5,220.0,390.0,14.0
No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,877.75,843.0,149.0,834.0
No,Air Miles,Letter,Medium,1,No,High,2,1,3,No,691.5,833.0,1081.0,63.0
No,Air Miles,Postcard,Low,2,No,Medium,2,2,4,Yes,814.5,997.0,1221.0,67.0
No,Points,Postcard,Medium,1,No,Medium,2,1,4,Yes,955.5,620.0,1347.0,309.0
No,Cash Back,Letter,High,1,No,High,2,1,4,Yes,1281.5,1783.0,774.0,1009.0
No,Air Miles,Letter,High,1,Yes,Low,2,1,3,Yes,937.5,848.0,487.0,730.0
No,Points,Letter,Medium,3,Yes,Medium,2,1,3,Yes,919.75,1701.0,1460.0,241.0
No,Points,Postcard,Medium,3,Yes,High,1,1,3,Yes,879.75,1400.0,1153.0,247.0
No,Points,Letter,Medium,1,Yes,Low,4,1,4,No,1181.0,2203.0,1720.0,483.0
No,Air Miles,Postcard,Low,1,No,Medium,1,2,3,No,1153.5,1584.0,1273.0,311.0
No,Points,Postcard,High,1,No,High,2,1,4,Yes,794.25,819.0,764.0,449.0
No,Points,Postcard,Medium,1,Yes,Low,3,1,4,Yes,927.25,1622.0,1494.0,128.0
No,Points,Letter,Medium,1,No,Medium,3,1,2,No,1809.0,1534.0,438.0,1534.0
No,Cash Back,Letter,Low,1,No,Medium,1,1,5,No,1156.25,1661.0,1396.0,430.0
No,Air Miles,Postcard,High,1,Yes,Low,2,1,4,No,1121.5,1072.0,1233.0,625.0
No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,1203.0,1322.0,1134.0,558.0
No,Points,Letter,High,2,No,Low,1,1,1,No,246.25,190.0,342.0,88.0
No,Air Miles,Letter,Low,2,No,Low,1,1,4,Yes,1454.75,1622.0,1506.0,664.0
No,Points,Postcard,High,1,No,Low,2,1,2,No,687.0,556.0,401.0,530.0
No,Points,Postcard,High,2,Yes,Low,1,1,3,Yes,928.0,675.0,1684.0,4.0
No,Points,Postcard,High,1,No,Low,2,1,2,No,933.0,577.0,1509.0,73.0
Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25,863.0,1438.0,418.0
No,Cash Back,Letter,Medium,1,No,Low,3,2,5,Yes,1301.5,1071.0,1295.0,795.0
No,Cash Back,Letter,High,2,No,Medium,1,1,2,Yes,1199.0,1488.0,1678.0,330.0
No,Points,Letter,Medium,2,No,Low,1,1,3,Yes,1084.25,1467.0,1839.0,206.0
No,Cash Back,Postcard,Low,1,No,High,2,1,2,No,1094.5,2113.0,1558.0,555.0
No,Points,Letter,High,1,Yes,High,1,1,3,Yes,1104.0,755.0,1682.0,463.0
No,Air Miles,Letter,High,1,No,Low,1,1,4,Yes,1042.5,1721.0,1018.0,703.0
No,Cash Back,Postcard,Medium,1,No,High,1,1,5,Yes,1089.75,850.0,1377.0,324.0
No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,974.25,997.0,1513.0,100.0
No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,991.5,799.0,1692.0,105.0
No,Points,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1204.25,2194.0,1867.0,327.0
No,Air Miles,Postcard,Medium,1,No,Low,2,1,5,No,865.0,1304.0,1217.0,235.0
No,Points,Postcard,Medium,1,No,High,2,1,2,Yes,1144.0,1678.0,791.0,887.0
No,Air Miles,Letter,Medium,1,No,Medium,3,2,4,Yes,958.5,626.0,1373.0,183.0
No,Cash Back,Letter,Medium,1,No,Low,2,2,3,Yes,1056.25,1838.0,1290.0,548.0
No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,695.0,871.0,356.0,515.0
No,Cash Back,Postcard,Low,1,No,High,4,1,2,Yes,1237.5,1208.0,1009.0,776.0
No,Cash Back,Letter,Low,1,No,High,2,1,5,Yes,1034.0,794.0,1067.0,722.0
No,Cash Back,Letter,High,1,No,High,1,1,4,Yes,1246.5,451.0,1537.0,451.0
No,Cash Back,Letter,Medium,1,No,Low,2,1,2,No,998.75,1221.0,668.0,553.0
No,Points,Postcard,High,1,No,Medium,2,1,3,Yes,1028.0,969.0,1669.0,216.0
No,Points,Postcard,Medium,2,No,High,2,1,2,No,320.0,264.0,122.0,263.0
No,Points,Letter,Low,2,No,High,1,2,3,Yes,91.25,121.0,57.0,64.0
No,Points,Letter,High,2,Yes,Medium,1,1,3,Yes,166.25,168.0,194.0,56.0
No,Air Miles,Letter,Medium,2,Yes,Low,3,1,2,No,240.0,229.0,197.0,123.0
No,Points,Postcard,Medium,1,No,Medium,2,1,5,No,124.75,78.0,99.0,78.0
No,Air Miles,Letter,High,1,No,Low,1,1,3,No,1145.75,1776.0,1476.0,300.0
No,Points,Postcard,Medium,3,No,Low,2,1,6,No,1292.5,1073.0,1223.0,564.0
No,Points,Letter,Medium,1,Yes,High,2,2,3,Yes,1186.0,1194.0,1616.0,464.0
No,Air Miles,Postcard,Medium,2,No,High,1,1,5,Yes,1135.25,1630.0,951.0,679.0
No,Cash Back,Letter,Low,1,No,Low,3,1,4,Yes,1279.25,2062.0,1743.0,319.0
No,Air Miles,Postcard,High,1,No,Low,2,2,3,Yes,1162.0,1837.0,1681.0,156.0
No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,No,954.5,714.0,720.0,714.0
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,1073.25,1186.0,675.0,751.0
No,Points,Letter,Medium,1,No,Medium,1,1,4,Yes,889.0,1523.0,1284.0,239.0
No,Points,Letter,Medium,1,No,Low,1,1,3,No,294.25,467.0,359.0,108.0
No,Air Miles,Postcard,Low,2,No,Low,3,1,3,Yes,1047.5,1252.0,970.0,487.0
No,Air Miles,Letter,Low,2,No,Low,1,1,3,Yes,661.25,907.0,374.0,533.0
No,Cash Back,Letter,Medium,2,No,Medium,3,1,2,Yes,158.75,450.0,428.0,22.0
No,Cash Back,Postcard,High,1,No,Medium,2,2,3,Yes,1059.0,1618.0,1224.0,394.0
No,Air Miles,Letter,Low,1,No,Medium,1,1,2,Yes,1741.75,1923.0,384.0,1539.0
No,Points,Postcard,High,1,No,Low,1,1,4,Yes,1419.5,2090.0,1352.0,738.0
No,Cash Back,Letter,Medium,1,No,Low,2,1,3,Yes,232.5,150.0,377.0,68.0
No,Points,Letter,Medium,1,No,High,2,1,3,No,1122.5,1233.0,1616.0,247.0
No,Cash Back,Postcard,Medium,2,No,Low,1,1,4,No,1250.75,1420.0,1022.0,787.0
No,Air Miles,Letter,Medium,1,No,High,3,2,2,Yes,1057.0,981.0,1471.0,270.0
No,Points,Postcard,High,1,No,Low,1,2,4,No,1195.0,1304.0,1453.0,413.0
No,Air Miles,Letter,Medium,2,Yes,High,1,1,3,Yes,936.25,769.0,1472.0,242.0
No,Air Miles,Postcard,High,1,No,Low,1,1,5,Yes,791.5,760.0,102.0,743.0
No,Cash Back,Letter,Medium,2,No,High,1,1,4,Yes,1426.0,1505.0,830.0,1003.0
No,Air Miles,Letter,Low,2,No,High,2,1,4,Yes,764.75,521.0,430.0,521.0
No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,830.0,1450.0,1295.0,155.0
No,Air Miles,Letter,Low,1,No,High,2,1,3,No,1162.25,1788.0,1383.0,405.0
No,Cash Back,Letter,Medium,2,No,High,2,2,3,Yes,1065.5,1571.0,688.0,883.0
No,Cash Back,Letter,Medium,1,Yes,Low,1,1,3,Yes,1022.25,1500.0,854.0,646.0
No,Cash Back,Postcard,Medium,1,No,Low,4,1,5,Yes,1181.0,873.0,1887.0,85.0
No,Air Miles,Postcard,Low,1,No,Medium,3,1,4,Yes,1764.0,1581.0,351.0,1581.0
No,Cash Back,Letter,Low,2,No,Low,2,2,2,No,1043.25,1256.0,596.0,704.0
No,Points,Letter,Medium,1,No,High,2,1,3,No,1702.0,1565.0,301.0,1565.0
No,Air Miles,Postcard,High,1,No,Medium,2,1,4,No,856.0,504.0,1589.0,35.0
No,Air Miles,Letter,Medium,1,No,Medium,2,1,5,No,390.75,298.0,197.0,298.0
No,Air Miles,Postcard,Low,1,No,Low,3,2,4,No,1101.5,1342.0,475.0,867.0
No,Points,Letter,Low,1,No,Medium,2,1,4,No,1016.5,510.0,1658.0,231.0
No,Cash Back,Letter,Medium,2,No,High,3,1,5,Yes,287.75,17.0,437.0,17.0
No,Cash Back,Letter,Low,1,No,Low,3,1,6,No,841.25,993.0,1149.0,100.0
No,Cash Back,Postcard,Medium,1,No,Low,3,2,6,Yes,911.75,676.0,1549.0,70.0
Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5,1519.0,844.0,675.0
No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,946.25,613.0,1615.0,142.0
No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1190.25,1132.0,1136.0,774.0
No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,924.0,1301.0,1197.0,104.0
No,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,823.75,822.0,409.0,586.0
No,Points,Postcard,Medium,1,No,High,3,1,4,No,1006.0,1850.0,1540.0,310.0
No,Points,Letter,Low,1,No,Low,1,1,4,Yes,1008.75,1690.0,1501.0,189.0
No,Points,Letter,Low,1,No,Medium,2,1,3,No,1128.0,1629.0,1888.0,188.0
No,Cash Back,Postcard,High,2,No,Low,2,1,1,Yes,1340.5,1356.0,1513.0,683.0
No,Points,Postcard,Low,1,Yes,Low,3,1,3,No,1371.0,1657.0,1591.0,514.0
No,Cash Back,Letter,Medium,1,No,Low,1,2,3,No,1331.25,1700.0,657.0,1043.0
No,Points,Postcard,Low,1,Yes,High,2,1,3,Yes,704.5,818.0,746.0,274.0
No,Air Miles,Postcard,Medium,1,No,High,1,2,3,Yes,1509.0,2214.0,1126.0,1088.0
No,Cash Back,Postcard,High,2,No,Low,3,1,3,No,203.25,240.0,350.0,32.0
No,Air Miles,Postcard,High,1,No,Medium,1,1,2,Yes,1034.0,867.0,1170.0,349.0
No,Air Miles,Postcard,Medium,1,No,Low,3,1,5,No,1007.25,1722.0,1614.0,108.0
No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,874.0,833.0,713.0,493.0
No,Points,Letter,Medium,2,No,High,1,2,4,Yes,1148.0,967.0,1531.0,330.0
No,Air Miles,Letter,High,1,No,Low,3,1,3,Yes,229.25,403.0,270.0,133.0
No,Points,Postcard,Medium,1,No,High,2,1,3,No,962.75,444.0,961.0,444.0
No,Points,Postcard,Medium,1,No,Low,4,1,5,No,1437.75,1420.0,1297.0,865.0
No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1281.5,2116.0,1351.0,765.0
No,Air Miles,Letter,Medium,1,No,High,2,1,3,Yes,1029.5,703.0,761.0,690.0
No,Air Miles,Postcard,Low,1,No,High,2,1,2,No,883.75,747.0,1390.0,193.0
No,Air Miles,Letter,Medium,1,No,Low,4,2,4,No,1144.5,803.0,949.0,803.0
No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,1117.0,1723.0,1697.0,65.0
Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75,1014.0,1539.0,438.0
No,Air Miles,Postcard,Low,1,No,Medium,4,1,4,Yes,992.5,1224.0,1679.0,115.0
No,Air Miles,Letter,Low,1,No,High,1,1,1,Yes,1065.25,1356.0,834.0,588.0
No,Points,Postcard,Low,1,No,Low,4,1,3,No,1526.0,2046.0,1057.0,989.0
No,Air Miles,Letter,Medium,1,No,Medium,2,1,2,Yes,1741.75,1907.0,308.0,1599.0
No,Cash Back,Letter,Medium,2,No,High,1,2,3,No,342.5,390.0,87.0,303.0
No,Air Miles,Letter,Medium,1,No,Medium,3,1,5,No,935.75,1700.0,1398.0,302.0
No,Points,Postcard,Low,1,No,Low,1,1,1,Yes,1058.5,1595.0,1405.0,190.0
No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,855.0,864.0,201.0,758.0
No,Cash Back,Postcard,Medium,1,No,Medium,1,2,5,No,1263.0,1094.0,703.0,947.0
No,Cash Back,Letter,Medium,2,No,Medium,1,1,6,Yes,1094.25,918.0,1164.0,449.0
No,Air Miles,Postcard,High,1,No,High,2,1,2,No,228.25,15.0,355.0,15.0
No,Cash Back,Postcard,Medium,1,No,Low,1,2,3,No,1265.0,1989.0,1310.0,679.0
Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034.0,911.0,1285.0,435.0
No,Points,Postcard,Medium,1,No,Low,2,2,2,Yes,1210.25,1184.0,1200.0,531.0
No,Cash Back,Letter,Low,1,No,High,2,1,3,Yes,1150.5,885.0,1495.0,494.0
No,Points,Postcard,Low,2,No,Medium,2,1,3,Yes,691.5,512.0,430.0,512.0
No,Points,Letter,Medium,1,No,Medium,2,1,3,Yes,1296.25,2239.0,1901.0,338.0
No,Points,Letter,Medium,1,No,Medium,2,2,3,Yes,690.5,759.0,252.0,507.0
No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,1161.25,1254.0,1526.0,432.0
No,Cash Back,Letter,Low,1,Yes,Low,3,1,1,Yes,874.25,963.0,310.0,677.0
No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,1272.75,1838.0,1197.0,641.0
No,Air Miles,Letter,Low,2,No,Low,1,1,3,No,1028.75,925.0,1614.0,115.0
No,Cash Back,Letter,Medium,2,No,Medium,1,1,4,No,677.25,622.0,405.0,553.0
No,Air Miles,Postcard,High,1,No,Low,3,1,4,No,1053.25,1556.0,1162.0,394.0
No,Points,Postcard,Low,1,No,High,1,1,3,No,1022.0,1109.0,1212.0,522.0
No,Points,Letter,Medium,1,No,Medium,3,2,3,Yes,1024.0,1112.0,473.0,768.0
Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25,521.0,1479.0,230.0
No,Air Miles,Letter,Medium,1,No,Medium,2,2,4,No,1163.25,1643.0,1773.0,94.0
No,Points,Letter,High,1,No,Low,2,1,3,No,139.0,4.0,244.0,4.0
No,Points,Letter,Medium,1,No,High,4,1,3,Yes,1164.5,1385.0,966.0,739.0
